,title,writer,pony,dialog
23,"Friendship is Magic, part 1",Lauren Faust,Twilight Sparkle,"My dearest teacher, my continuing studies of pony magic have led me to discover that we are on the precipice of disaster!"
24,"Friendship is Magic, part 1",Lauren Faust,Spike,Hold on. Preci... preci...
25,"Friendship is Magic, part 1",Lauren Faust,Twilight Sparkle,Threshold.
26,"Friendship is Magic, part 1",Lauren Faust,Spike,Threh...
27,"Friendship is Magic, part 1",Lauren Faust,Twilight Sparkle,"Uh, brink? Ugh, that something really bad is about to happen! For you see, the mythical Mare in the Moon is in fact Nightmare Moon, and she's about to return to Equestria, and bring with her eternal night! Something must be done to make sure this terrible prophecy does not come true. I await your quick response. Your faithful student, Twilight Sparkle."
28,"Friendship is Magic, part 1",Lauren Faust,Spike,Twi... light Spar... kle. Got it!
29,"Friendship is Magic, part 1",Lauren Faust,Twilight Sparkle,Great! Send it.
30,"Friendship is Magic, part 1",Lauren Faust,Spike,Now?
31,"Friendship is Magic, part 1",Lauren Faust,Twilight Sparkle,Of course!
32,"Friendship is Magic, part 1",Lauren Faust,Spike,"Uh, I dunno, Twilight, Princess Celestia's a little busy getting ready for the Summer Sun Celebration. And it's like, the day after tomorrow."
33,"Friendship is Magic, part 1",Lauren Faust,Twilight Sparkle,"That's just it, Spike. The day after tomorrow is the thousandth year of the Summer Sun Celebration! It's imperative that the Princess is told right away!"
34,"Friendship is Magic, part 1",Lauren Faust,Spike,Impera... impera...
35,"Friendship is Magic, part 1",Lauren Faust,Twilight Sparkle,Important!
36,"Friendship is Magic, part 1",Lauren Faust,Spike,Whoa!
37,"Friendship is Magic, part 1",Lauren Faust,Spike,"Okay, okay! [inhale] There, it's on its way. But I wouldn't hold your breath..."
38,"Friendship is Magic, part 1",Lauren Faust,Twilight Sparkle,"Oh, I'm not worried, Spike. The Princess trusts me completely. In all the years she's been my mentor she's never once doubted me."
39,"Friendship is Magic, part 1",Lauren Faust,Twilight Sparkle,See? I knew she would want to take immediate action.
40,"Friendship is Magic, part 1",Lauren Faust,Spike,"[clears throat] My dearest, most faithful student Twilight. You know that I value your diligence and that I trust you completely."
41,"Friendship is Magic, part 1",Lauren Faust,Twilight Sparkle,Mm-hm!
42,"Friendship is Magic, part 1",Lauren Faust,Spike,...but you simply must stop reading those dusty old books!
43,"Friendship is Magic, part 1",Lauren Faust,Spike,"My dear Twilight, there is more to a young pony's life than studying, so I'm sending you to supervise the preparations for the Summer Sun Celebration in this year's location: Ponyville. And, I have an even more essential task for you to complete: make some friends!"
44,"Friendship is Magic, part 1",Lauren Faust,Spike,"Look on the bright side, Twilight. The Princess arranged for you to stay in a library. Doesn't that make you happy?"
45,"Friendship is Magic, part 1",Lauren Faust,Twilight Sparkle,"Yes, yes it does. You know why? Because I'm right! I'll check on the preparations as fast as I can, then get to the library to find some proof of Nightmare Moon's return."
46,"Friendship is Magic, part 1",Lauren Faust,Spike,"Then... when will you make friends, like the Princess said?"
47,"Friendship is Magic, part 1",Lauren Faust,Twilight Sparkle,"She said to check on preparations. I am her student, and I'll do my royal duty, but the fate of Equestria does not rest on me making friends."
48,"Friendship is Magic, part 1",Lauren Faust,Twilight Sparkle,"Thank you, sirs."
49,"Friendship is Magic, part 1",Lauren Faust,Spike,"Maybe the ponies in Ponyville have interesting things to talk about. Come on, Twilight, just try!"
50,"Friendship is Magic, part 1",Lauren Faust,Twilight Sparkle,Um... hello?
51,"Friendship is Magic, part 1",Lauren Faust,Twilight Sparkle,"Well, that was interesting all right."
52,"Friendship is Magic, part 1",Lauren Faust,Spike,"Summer Sun Celebration official overseer's checklist. Number one, banquet preparations: Sweet Apple Acres."
53,"Friendship is Magic, part 1",Lauren Faust,Applejack,Yeehaw!
54,"Friendship is Magic, part 1",Lauren Faust,Twilight Sparkle,[sigh] Let's get this over with... Good afternoon. My name is Twilight Sparkle<U+0097>
55,"Friendship is Magic, part 1",Lauren Faust,Applejack,"Well, howdy-doo, Miss Twilight, a pleasure makin' your acquaintance. I'm Applejack. We here at Sweet Apple Acres sure do like makin' new friends!"
56,"Friendship is Magic, part 1",Lauren Faust,Twilight Sparkle,"Friends? Actually, I<U+0097>"
57,"Friendship is Magic, part 1",Lauren Faust,Applejack,"So, what can I do you for?"
58,"Friendship is Magic, part 1",Lauren Faust,Twilight Sparkle,"[clears throat] Well, I am in fact here to supervise preparations for the Summer Sun Celebration. And you're in charge of the food?"
59,"Friendship is Magic, part 1",Lauren Faust,Applejack,We sure as sugar are! Would you care to sample some?
60,"Friendship is Magic, part 1",Lauren Faust,Twilight Sparkle,As long as it doesn't take too long...
61,"Friendship is Magic, part 1",Lauren Faust,Applejack,"Soup's on, everypony!"
62,"Friendship is Magic, part 1",Lauren Faust,Applejack,"Now, why don't I introduce y'all to the Apple family?"
63,"Friendship is Magic, part 1",Lauren Faust,Twilight Sparkle,"Thanks, but I really need to hurry<U+0097>"
64,"Friendship is Magic, part 1",Lauren Faust,Applejack,"This here's Apple Fritter. Apple Bumpkin. Red Gala. Red Delicious, Golden Delicious, Caramel Apple, Apple Strudel, Apple Tart, Baked Apples, Apple Brioche, Apple Cinnamon Crisp... [deep breath] Big McIntosh, Apple Bloom and Granny Smith. Up'n'attem, Granny Smith, we got guests."
66,"Friendship is Magic, part 1",Lauren Faust,Applejack,"Why, I'd say you're already part of the family!"
67,"Friendship is Magic, part 1",Lauren Faust,Twilight Sparkle,"[spit] [nervous laughter] Okay, well, I can see the food situation is handled, so we'll be on our way."
68,"Friendship is Magic, part 1",Lauren Faust,Apple Bloom,Aren't you gonna stay for brunch?
69,"Friendship is Magic, part 1",Lauren Faust,Twilight Sparkle,"Sorry, but we have an awful lot to do..."
70,"Friendship is Magic, part 1",Lauren Faust,Twilight Sparkle,...fine.
71,"Friendship is Magic, part 1",Lauren Faust,Spike,"Food's all taken care of, next is weather."
72,"Friendship is Magic, part 1",Lauren Faust,Twilight Sparkle,Ugh... I ate too much pie...
73,"Friendship is Magic, part 1",Lauren Faust,Spike,"Hmm, there's supposed to be a Pegasus pony named Rainbow Dash clearing the clouds."
74,"Friendship is Magic, part 1",Lauren Faust,Twilight Sparkle,"Well, she's not doing a very good job, is she?"
75,"Friendship is Magic, part 1",Lauren Faust,Twilight Sparkle,Nng.
76,"Friendship is Magic, part 1",Lauren Faust,Twilight Sparkle,Nnnn.
77,"Friendship is Magic, part 1",Lauren Faust,Rainbow Dash,[laughter] Lemme help you.
78,"Friendship is Magic, part 1",Lauren Faust,Twilight Sparkle,Let me guess. You're Rainbow Dash.
79,"Friendship is Magic, part 1",Lauren Faust,Rainbow Dash,"The one and only. Why, you heard of me?"
80,"Friendship is Magic, part 1",Lauren Faust,Twilight Sparkle,"I heard you were supposed to be keeping the sky clear. [sigh] I'm Twilight Sparkle, and the Princess sent me to check on the weather."
81,"Friendship is Magic, part 1",Lauren Faust,Rainbow Dash,"Yeah, yeah, that'll be a snap. I'll do it in a jiffy. Just as soon as I'm done practicing."
82,"Friendship is Magic, part 1",Lauren Faust,Twilight Sparkle,Practicing for what?
83,"Friendship is Magic, part 1",Lauren Faust,Rainbow Dash,"The Wonderbolts! They're gonna perform at the Celebration tomorrow, and I'm gonna show 'em my stuff!"
84,"Friendship is Magic, part 1",Lauren Faust,Twilight Sparkle,The Wonderbolts?
85,"Friendship is Magic, part 1",Lauren Faust,Rainbow Dash,Yep!
86,"Friendship is Magic, part 1",Lauren Faust,Twilight Sparkle,The most talented flyers in all of Equestria?
87,"Friendship is Magic, part 1",Lauren Faust,Rainbow Dash,That's them!
88,"Friendship is Magic, part 1",Lauren Faust,Twilight Sparkle,Pfft! Please. They'd never accept a Pegasus who can't even keep the sky clear for one measly day.
89,"Friendship is Magic, part 1",Lauren Faust,Rainbow Dash,"Hey, I could clear this sky in ten seconds flat."
90,"Friendship is Magic, part 1",Lauren Faust,Twilight Sparkle,Prove it.
91,"Friendship is Magic, part 1",Lauren Faust,Rainbow Dash,"[sounds of exertion] Loop-de-loop around, and wham! What'd I say? Ten. Seconds. Flat. I'd never leave Ponyville hanging. [sheep baaing] [chuckles] You should see the look on your face. Ha! You're a laugh, Twilight Sparkle. I can't wait to hang out some more."
92,"Friendship is Magic, part 1",Lauren Faust,Twilight Sparkle,Rrgh.
93,"Friendship is Magic, part 1",Lauren Faust,Spike,Wait! It's kinda pretty once you get used to it!
94,"Friendship is Magic, part 1",Lauren Faust,Spike,Decorations. Beautiful...
95,"Friendship is Magic, part 1",Lauren Faust,Twilight Sparkle,"Yes, the d<e9>cor is coming along nicely. This ought'a be quick. I'll be at the library in no time. Beautiful indeed."
96,"Friendship is Magic, part 1",Lauren Faust,Spike,"Not the d<e9>cor, her!"
97,"Friendship is Magic, part 1",Lauren Faust,Rarity,"No, no, no, oh! Goodness no."
98,"Friendship is Magic, part 1",Lauren Faust,Spike,How are my spines? Are they straight?
99,"Friendship is Magic, part 1",Lauren Faust,Twilight Sparkle,Good afternoon<U+0097>
100,"Friendship is Magic, part 1",Lauren Faust,Rarity,"Just a moment, please! I'm 'in the zone', as it were. Oh, yes! Sparkle always does the trick, does it not? Why, Rarity, you are a talent. Now, um, how can I help yo<U+0097> [yelp] Oh my stars, darling! Whatever happened to your coiffure?!"
101,"Friendship is Magic, part 1",Lauren Faust,Twilight Sparkle,"Oh, you mean my mane? Well, it's a long story. I'm just here to check on the decorations, and then I'll be out of your hair!"
102,"Friendship is Magic, part 1",Lauren Faust,Rarity,Out of my hair? What about your hair?!
103,"Friendship is Magic, part 1",Lauren Faust,Twilight Sparkle,Wait! Where are we going?! Help!
104,"Friendship is Magic, part 1",Lauren Faust,Rarity,"No, no, uh-uh. Too green. Too yellow. Too poofy. Not poofy enough. Too frilly. Too... shiny. Now go on, my dear. You were telling me where you're from."
105,"Friendship is Magic, part 1",Lauren Faust,Twilight Sparkle,[wincing] I've... been sent... from Canterlot... to<U+0097>
106,"Friendship is Magic, part 1",Lauren Faust,Rarity,Huh?
107,"Friendship is Magic, part 1",Lauren Faust,Rarity,"Canterlot?! Oh, I am so envious! The glamour, the sophistication! I have always dreamed of living there! I can't wait to hear all about it! We are gonna be the best of friends, you and I... Emeralds?! What was I thinking? Let me get you some rubies!"
108,"Friendship is Magic, part 1",Lauren Faust,Twilight Sparkle,Quick! Before she decides to dye my coat a new color!
109,"Friendship is Magic, part 1",Lauren Faust,Spike,Wasn't she wonderful?
110,"Friendship is Magic, part 1",Lauren Faust,Twilight Sparkle,"Focus, Casanova. What's next on the list?"
111,"Friendship is Magic, part 1",Lauren Faust,Spike,"[clears throat] Oh, uh, music! It's the last one!"
112,"Friendship is Magic, part 1",Lauren Faust,Fluttershy,"Oh my. Um, stop please, everyone, umm. Excuse me, sir? I mean no offense, but your rhythm is just a teeny-tiny bit off. Now, follow me, please. A-one, a-two, a-one two three-"
113,"Friendship is Magic, part 1",Lauren Faust,Twilight Sparkle,Hello!
114,"Friendship is Magic, part 1",Lauren Faust,Twilight Sparkle,"Oh my, I'm so sorry, I didn't mean to frighten your birds. I'm just here to check up on the music and it's sounding beautiful. [pause] I'm Twilight Sparkle. [pause] What's your name?"
115,"Friendship is Magic, part 1",Lauren Faust,Fluttershy,[very quietly] Um... I'm Fluttershy.
116,"Friendship is Magic, part 1",Lauren Faust,Twilight Sparkle,"I'm sorry, what was that?"
117,"Friendship is Magic, part 1",Lauren Faust,Fluttershy,[even quieter] Um... My name is Fluttershy.
118,"Friendship is Magic, part 1",Lauren Faust,Twilight Sparkle,Didn't quite catch that.
119,"Friendship is Magic, part 1",Lauren Faust,Twilight Sparkle,"[pause] Well, um, it looks like your birds are back, so I guess everything's in order. Keep up the good work!"
120,"Friendship is Magic, part 1",Lauren Faust,Twilight Sparkle,"Oookay. [to Spike] Well, that was easy."
121,"Friendship is Magic, part 1",Lauren Faust,Fluttershy,[gasp] A baby dragon!
122,"Friendship is Magic, part 1",Lauren Faust,Fluttershy,"Oh, I've never seen a baby dragon before. He's sooo cute!"
123,"Friendship is Magic, part 1",Lauren Faust,Spike,"Well, well, well...!"
124,"Friendship is Magic, part 1",Lauren Faust,Fluttershy,"Oh my, he talks. I didn't know dragons could talk. That's just so incredibly wonderful I, I just don't even know what to say!"
125,"Friendship is Magic, part 1",Lauren Faust,Twilight Sparkle,"Well, in that case we'd better be going."
126,"Friendship is Magic, part 1",Lauren Faust,Fluttershy,"Wait, wait! What's his name?"
127,"Friendship is Magic, part 1",Lauren Faust,Spike,I'm Spike.
128,"Friendship is Magic, part 1",Lauren Faust,Fluttershy,"Hi Spike, I'm Fluttershy. Wow, a talking dragon! And what do dragons talk about?"
129,"Friendship is Magic, part 1",Lauren Faust,Spike,"Well, what do you wanna know?"
130,"Friendship is Magic, part 1",Lauren Faust,Fluttershy,Absolutely everything.
131,"Friendship is Magic, part 1",Lauren Faust,Spike,Well... I started out as a cute little purple and green egg...
132,"Friendship is Magic, part 1",Lauren Faust,Spike,"...and that's the story of my whole entire life! Well, up until today. Do you wanna hear about today?"
133,"Friendship is Magic, part 1",Lauren Faust,Fluttershy,"Oh, yes, please!"
134,"Friendship is Magic, part 1",Lauren Faust,Spike,Gyah!
135,"Friendship is Magic, part 1",Lauren Faust,Twilight Sparkle,"I am so sorry, how did we get here so fast? This is where I'm staying while in Ponyville and my poor baby dragon needs his sleep."
136,"Friendship is Magic, part 1",Lauren Faust,Spike,No I don't<U+0097> whoa!
137,"Friendship is Magic, part 1",Lauren Faust,Twilight Sparkle,"Aww, wook at dat, he's so sweepy he can't even keep his widdle bawance!"
138,"Friendship is Magic, part 1",Lauren Faust,Fluttershy,"Poor thing, you simply must get into bed..."
139,"Friendship is Magic, part 1",Lauren Faust,Twilight Sparkle,"Yes, yes, we'll get right on that. Well, g'night!"
140,"Friendship is Magic, part 1",Lauren Faust,Spike,Huh. Rude much?
141,"Friendship is Magic, part 1",Lauren Faust,Twilight Sparkle,"Sorry, Spike, but I have to convince the Princess that Nightmare Moon is coming, and we're running out of time! I just need to be alone so I can study without a bunch of crazy ponies trying to make friends all the time. Now, where's the light?"
143,"Friendship is Magic, part 1",Lauren Faust,Pinkie Pie,Surprise!
144,"Friendship is Magic, part 1",Lauren Faust,Pinkie Pie,"Hi, I'm Pinkie Pie, and I threw this party just for you! Were you surprised? Were ya? Were ya? Huh huh huh?"
145,"Friendship is Magic, part 1",Lauren Faust,Twilight Sparkle,Very surprised. Libraries are supposed to be quiet.
146,"Friendship is Magic, part 1",Lauren Faust,Pinkie Pie,"Well, that's silly! What kind of welcome party would this be if it were quiet? I mean, duh, bo-ring! Y'see, I saw you when you first got here, remember? You were all ""hello"" and I was all [deep gasp], remember? Y'see I've never saw you before and if I've never saw you before that means you're new, 'cause I know everypony, and I mean everypony in Ponyville!"
147,"Friendship is Magic, part 1",Lauren Faust,Pinkie Pie,"And if you're new, that meant you haven't met anyone yet, and if you haven't met anyone yet, you must not have any friends, and if you don't have any friends then you must be lonely, and that made me so sad, then I had an idea, and that's why I went [deep gasp]! I must throw a great big ginormous super-duper spectacular welcome party and invite everyone in Ponyville! See? And now you have lots and lots of friends!"
148,"Friendship is Magic, part 1",Lauren Faust,Applejack,"Are you all right, sugarcube?"
149,"Friendship is Magic, part 1",Lauren Faust,Pinkie Pie,"Aww, she's so happy she's crying!"
150,"Friendship is Magic, part 1",Lauren Faust,Spike,"""Hot sauce""."
151,"Friendship is Magic, part 1",Lauren Faust,Pinkie Pie,Ooh... [with mouth full] What? It's good!
152,"Friendship is Magic, part 1",Lauren Faust,Spike,"Hey Twilight! Pinkie Pie's starting ""pin the tail on the pony""! Wanna play?"
153,"Friendship is Magic, part 1",Lauren Faust,Twilight Sparkle,No! All the ponies in this town are crazy! Do you know what time it is?!
154,"Friendship is Magic, part 1",Lauren Faust,Spike,"It's the eve of the Summer Sun Celebration. Everypony has to stay up, or they'll miss the Princess raise the sun! You really should lighten up, Twilight. It's a party!"
155,"Friendship is Magic, part 1",Lauren Faust,Twilight Sparkle,"Ugh, here I thought I'd have time to learn about the Elements of Harmony but, silly me, all this ridiculous friend-making has kept me from it! ""Legend has it that on the longest day of the thousandth year, the stars will aid in her escape, and she will bring about everlasting night."" I hope the Princess was right... I hope it really is just an old pony tale..."
156,"Friendship is Magic, part 1",Lauren Faust,Spike,"C'mon, Twilight, it's time to watch the sunrise!"
157,"Friendship is Magic, part 1",Lauren Faust,Pinkie Pie,"Isn't this exciting? Are you excited, 'cause I'm excited, I've never been so excited<U+0097> well, except for the time that I saw you walking into town and I went [deep gasp] but I mean really, who can top that?"
160,"Friendship is Magic, part 1",Lauren Faust,Fluttershy,Ready?
162,"Friendship is Magic, part 1",Lauren Faust,Rarity,Huh?
163,"Friendship is Magic, part 1",Lauren Faust,Twilight Sparkle,This can't be good.
165,"Friendship is Magic, part 1",Lauren Faust,Pinkie Pie,"Ooh, ooh, I love guessing games! Is she hiding?"
166,"Friendship is Magic, part 1",Lauren Faust,Rarity,She's gone!
167,"Friendship is Magic, part 1",Lauren Faust,Twilight Sparkle,Oh no... Nightmare Moon!
169,"Friendship is Magic, part 1",Lauren Faust,Rainbow Dash,What did you do with our Princess?!
170,"Friendship is Magic, part 1",Lauren Faust,Applejack,"[muffled] Whoa there, Nelly..."
173,"Friendship is Magic, part 1",Lauren Faust,Twilight Sparkle,I did. And I know who you are. You're the Mare in the Moon <U+0096> Nightmare Moon!
175,"Friendship is Magic, part 2",Lauren Faust,Twilight Sparkle,"""Elements of Harmony, see 'Mare in the Moon'""?"
176,"Friendship is Magic, part 2",Lauren Faust,Spike,But that's just an old ponies' tale.
177,"Friendship is Magic, part 2",Lauren Faust,Twilight Sparkle,She will bring about nighttime eternal.
178,"Friendship is Magic, part 2",Lauren Faust,Twilight Sparkle,It's imperative that the princess is told right away.
179,"Friendship is Magic, part 2",Lauren Faust,Twilight Sparkle,I knew she would wanna take immediate action.
180,"Friendship is Magic, part 2",Lauren Faust,Spike,"My dear Twilight, there is more to a young pony's life than studying. Make some friends!"
181,"Friendship is Magic, part 2",Lauren Faust,Twilight Sparkle,All the ponies in this town are crazy!
182,"Friendship is Magic, part 2",Lauren Faust,Twilight Sparkle,I hope the Princess was right.
183,"Friendship is Magic, part 2",Lauren Faust,Rarity,She's gone!
184,"Friendship is Magic, part 2",Lauren Faust,Twilight Sparkle,Oh no. Nightmare Moon!
186,"Friendship is Magic, part 2",Lauren Faust,Applejack,Ergh...
187,"Friendship is Magic, part 2",Lauren Faust,Rainbow Dash,Come back here! [pants] Nighttime? Forever? Where's she going?
188,"Friendship is Magic, part 2",Lauren Faust,Spike,Uh... We gotta stop Nightmare!...
189,"Friendship is Magic, part 2",Lauren Faust,Twilight Sparkle,"You've been up all night, Spike. You are a baby dragon after all. Elements, elements, elements... Ugh! How can I stop Nightmare Moon without the Elements of Harmony?"
190,"Friendship is Magic, part 2",Lauren Faust,Rainbow Dash,"And just what are the Elements of Harmony? And how did you know about Nightmare Moon, huh? Are you a spy? Whoa!"
191,"Friendship is Magic, part 2",Lauren Faust,Applejack,"Simmer down, Sally. She ain't no spy. But she sure knows what's going on. Don't you, Twilight?"
192,"Friendship is Magic, part 2",Lauren Faust,Twilight Sparkle,"I read all about the prediction of Nightmare Moon. Some mysterious objects called the Elements of Harmony are the only things that can stop her, but I don't know what they are, where to find them; I don't even know what they do!"
193,"Friendship is Magic, part 2",Lauren Faust,Pinkie Pie,"""The Elements of Harmony: A Reference Guide."""
194,"Friendship is Magic, part 2",Lauren Faust,Twilight Sparkle,How did you find that?!
195,"Friendship is Magic, part 2",Lauren Faust,Pinkie Pie,"[sing-song voice] It was under ""E""!"
196,"Friendship is Magic, part 2",Lauren Faust,Twilight Sparkle,"Oh. There are six Elements of Harmony, but only five are known: Kindness, Laughter, Generosity, Honesty and Loyalty. The sixth is a complete mystery. It is said, the last known location of the five elements was in the ancient castle of the royal pony sisters. It is located in what is now--"
198,"Friendship is Magic, part 2",Lauren Faust,Pinkie Pie,Whee! Let's go!
199,"Friendship is Magic, part 2",Lauren Faust,Twilight Sparkle,"Not so fast. Look, I appreciate the offer, but I'd really rather do this on my own."
200,"Friendship is Magic, part 2",Lauren Faust,Applejack,"No can do, sugarcube. We sure ain't lettin' any friend of ours go into that creepy place alone. We're stickin' to you like caramel on a candy apple."
201,"Friendship is Magic, part 2",Lauren Faust,Pinkie Pie,Especially if there's candy apples in there. What? Those things are good.
202,"Friendship is Magic, part 2",Lauren Faust,Twilight Sparkle,"So, none of you have been in here before?"
203,"Friendship is Magic, part 2",Lauren Faust,Rarity,"Ugh, heavens no! Just look at it - it's dreadful."
204,"Friendship is Magic, part 2",Lauren Faust,Applejack,And it ain't natural. Folks say it don't work the same as Equestria.
205,"Friendship is Magic, part 2",Lauren Faust,Twilight Sparkle,What's that supposed to mean?
206,"Friendship is Magic, part 2",Lauren Faust,Rainbow Dash,Nopony knows. You know why?
207,"Friendship is Magic, part 2",Lauren Faust,Applejack,"Rainbow, quit it."
208,"Friendship is Magic, part 2",Lauren Faust,Rainbow Dash,'cause everypony who's ever come in has never come out!
209,"Friendship is Magic, part 2",Lauren Faust,Rainbow Dash,Fluttershy! Quick!
210,"Friendship is Magic, part 2",Lauren Faust,Fluttershy,"Oh my goodness, oh my goodness."
211,"Friendship is Magic, part 2",Lauren Faust,Applejack,Hold on! I'm a-comin'!
212,"Friendship is Magic, part 2",Lauren Faust,Twilight Sparkle,Applejack! What do I do?
213,"Friendship is Magic, part 2",Lauren Faust,Applejack,Let go.
214,"Friendship is Magic, part 2",Lauren Faust,Twilight Sparkle,Are you crazy?
215,"Friendship is Magic, part 2",Lauren Faust,Applejack,No I ain't. I promise you'll be safe.
216,"Friendship is Magic, part 2",Lauren Faust,Twilight Sparkle,That's not true!
217,"Friendship is Magic, part 2",Lauren Faust,Applejack,"Now listen here. What I'm sayin' to you is the honest truth. Let go, and you'll be safe."
218,"Friendship is Magic, part 2",Lauren Faust,Twilight Sparkle,Yaaah! Phew-wah!
219,"Friendship is Magic, part 2",Lauren Faust,Fluttershy,Sorry girls. I'm not used to holding anything more than a bunny or two.
220,"Friendship is Magic, part 2",Lauren Faust,Rainbow Dash,"And once Pinkie and Rarity were saved, whoosh... Me and Fluttershy loop-de-loop around and WHAM! Caught you right in the nick of time."
221,"Friendship is Magic, part 2",Lauren Faust,Twilight Sparkle,"Yes, Rainbow, I was there, and I'm very grateful, but we gotta- [gasp] A manticore!"
222,"Friendship is Magic, part 2",Lauren Faust,Twilight Sparkle,We've gotta get past him!
223,"Friendship is Magic, part 2",Lauren Faust,Rarity,"Take that, you ruffian!"
224,"Friendship is Magic, part 2",Lauren Faust,Rarity,My hair! Woop--
225,"Friendship is Magic, part 2",Lauren Faust,Fluttershy,Wait.
226,"Friendship is Magic, part 2",Lauren Faust,Applejack,"YEE-HAW! Git along, little dogie."
227,"Friendship is Magic, part 2",Lauren Faust,Fluttershy,Wait.
228,"Friendship is Magic, part 2",Lauren Faust,Applejack,"Whoa! All yours, partner."
229,"Friendship is Magic, part 2",Lauren Faust,Rainbow Dash,I'm on it.
230,"Friendship is Magic, part 2",Lauren Faust,Fluttershy,Wait!
231,"Friendship is Magic, part 2",Lauren Faust,Twilight Sparkle,Rainbow!
232,"Friendship is Magic, part 2",Lauren Faust,Fluttershy,WAIT!
233,"Friendship is Magic, part 2",Lauren Faust,Fluttershy,"Shhh... It's okay. Oh, you poor, poor little baby."
234,"Friendship is Magic, part 2",Lauren Faust,Rainbow Dash,Little?
235,"Friendship is Magic, part 2",Lauren Faust,Fluttershy,Now this might hurt for just a second.
237,"Friendship is Magic, part 2",Lauren Faust,Fluttershy,"[giggles] Aw you're just a little ol' baby kitty, aren't you? Yes you are, yes you are."
238,"Friendship is Magic, part 2",Lauren Faust,Twilight Sparkle,How did you know about the thorn?
239,"Friendship is Magic, part 2",Lauren Faust,Fluttershy,I didn't. Sometimes we all just need to be shown a little kindness.
240,"Friendship is Magic, part 2",Lauren Faust,Rarity,"No. My eyes need a rest from all this icky muck. Well, I didn't mean that literally."
241,"Friendship is Magic, part 2",Lauren Faust,Twilight Sparkle,That ancient ruin could be right in front of our faces and we wouldn't even know it.
242,"Friendship is Magic, part 2",Lauren Faust,Rarity,"I didn't see you there, my apologies."
243,"Friendship is Magic, part 2",Lauren Faust,Rainbow Dash,Right here... guh...
244,"Friendship is Magic, part 2",Lauren Faust,Applejack,"Oh wait, I think I stepped in somethin'."
245,"Friendship is Magic, part 2",Lauren Faust,Applejack,It's just mud.
246,"Friendship is Magic, part 2",Lauren Faust,Applejack,Aah!
248,"Friendship is Magic, part 2",Lauren Faust,Twilight Sparkle,"Pinkie, what are you doing?! Run!"
249,"Friendship is Magic, part 2",Lauren Faust,Pinkie Pie,"Oh girls, don't you see?"
250,"Friendship is Magic, part 2",Lauren Faust,Pinkie Pie,When I was a little filly and the sun was going down...
251,"Friendship is Magic, part 2",Lauren Faust,Twilight Sparkle,Tell me she's not...
252,"Friendship is Magic, part 2",Lauren Faust,Pinkie Pie,"The darkness and the shadows, they would always make me frown..."
253,"Friendship is Magic, part 2",Lauren Faust,Rarity,She is.
254,"Friendship is Magic, part 2",Lauren Faust,Pinkie Pie,I'd hide under my pillow From what I thought I saw But Granny Pie said that wasn't the way To deal with fears at all
255,"Friendship is Magic, part 2",Lauren Faust,Rainbow Dash,Then what is?
256,"Friendship is Magic, part 2",Lauren Faust,Pinkie Pie,"She said, ""Pinkie, you gotta stand up tall Learn to face your fears You'll see that they can't hurt you Just laugh to make them disappear."""
258,"Friendship is Magic, part 2",Lauren Faust,Pinkie Pie,"So, giggle at the ghostly Guffaw at the grossly Crack up at the creepy Whoop it up with the weepy Chortle at the kooky Snortle at the spooky"
