index,title,writer,pony,dialog,emotion_chatgpt,season
43,"Friendship is Magic, part 1",Lauren Faust,Spike,"My dear Twilight, there is more to a young pony's life than studying, so I'm sending you to supervise the preparations for the Summer Sun Celebration in this year's location: Ponyville. And, I have an even more essential task for you to complete: make some friends!",joy,1
44,"Friendship is Magic, part 1",Lauren Faust,Spike,"Look on the bright side, Twilight. The Princess arranged for you to stay in a library. Doesn't that make you happy?",joy,1
45,"Friendship is Magic, part 1",Lauren Faust,Twilight Sparkle,"Yes, yes it does. You know why? Because I'm right! I'll check on the preparations as fast as I can, then get to the library to find some proof of Nightmare Moon's return.",joy,1
46,"Friendship is Magic, part 1",Lauren Faust,Spike,"Then... when will you make friends, like the Princess said?",neutral,1
47,"Friendship is Magic, part 1",Lauren Faust,Twilight Sparkle,"She said to check on preparations. I am her student, and I'll do my royal duty, but the fate of Equestria does not rest on me making friends.",neutral,1
48,"Friendship is Magic, part 1",Lauren Faust,Twilight Sparkle,"Thank you, sirs.",joy,1
49,"Friendship is Magic, part 1",Lauren Faust,Spike,"Maybe the ponies in Ponyville have interesting things to talk about. Come on, Twilight, just try!",joy,1
50,"Friendship is Magic, part 1",Lauren Faust,Twilight Sparkle,Um... hello?,neutral,1
51,"Friendship is Magic, part 1",Lauren Faust,Twilight Sparkle,"Well, that was interesting all right.",neutral,1
52,"Friendship is Magic, part 1",Lauren Faust,Spike,"Summer Sun Celebration official overseer's checklist. Number one, banquet preparations: Sweet Apple Acres.",neutral,1
53,"Friendship is Magic, part 1",Lauren Faust,Applejack,Yeehaw!,joy,1
54,"Friendship is Magic, part 1",Lauren Faust,Twilight Sparkle,[sigh] Let's get this over with... Good afternoon. My name is Twilight Sparkle<U+0097>,neutral,1
55,"Friendship is Magic, part 1",Lauren Faust,Applejack,"Well, howdy-doo, Miss Twilight, a pleasure makin' your acquaintance. I'm Applejack. We here at Sweet Apple Acres sure do like makin' new friends!",joy,1
56,"Friendship is Magic, part 1",Lauren Faust,Twilight Sparkle,"Friends? Actually, I<U+0097>",neutral,1
57,"Friendship is Magic, part 1",Lauren Faust,Applejack,"So, what can I do you for?",neutral,1
58,"Friendship is Magic, part 1",Lauren Faust,Twilight Sparkle,"[clears throat] Well, I am in fact here to supervise preparations for the Summer Sun Celebration. And you're in charge of the food?",neutral,1
59,"Friendship is Magic, part 1",Lauren Faust,Applejack,We sure as sugar are! Would you care to sample some?,joy,1
60,"Friendship is Magic, part 1",Lauren Faust,Twilight Sparkle,As long as it doesn't take too long...,neutral,1
61,"Friendship is Magic, part 1",Lauren Faust,Applejack,"Soup's on, everypony!",joy,1
62,"Friendship is Magic, part 1",Lauren Faust,Applejack,"Now, why don't I introduce y'all to the Apple family?",joy,1
63,"Friendship is Magic, part 1",Lauren Faust,Twilight Sparkle,"Thanks, but I really need to hurry<U+0097>",neutral,1
64,"Friendship is Magic, part 1",Lauren Faust,Applejack,"This here's Apple Fritter. Apple Bumpkin. Red Gala. Red Delicious, Golden Delicious, Caramel Apple, Apple Strudel, Apple Tart, Baked Apples, Apple Brioche, Apple Cinnamon Crisp... [deep breath] Big McIntosh, Apple Bloom and Granny Smith. Up'n'attem, Granny Smith, we got guests.",joy,1
66,"Friendship is Magic, part 1",Lauren Faust,Applejack,"Why, I'd say you're already part of the family!",joy,1
67,"Friendship is Magic, part 1",Lauren Faust,Twilight Sparkle,"[spit] [nervous laughter] Okay, well, I can see the food situation is handled, so we'll be on our way.",neutral,1
68,"Friendship is Magic, part 1",Lauren Faust,Apple Bloom,Aren't you gonna stay for brunch?,joy,1
69,"Friendship is Magic, part 1",Lauren Faust,Twilight Sparkle,"Sorry, but we have an awful lot to do...",sadness,1
70,"Friendship is Magic, part 1",Lauren Faust,Twilight Sparkle,...fine.,neutral,1
71,"Friendship is Magic, part 1",Lauren Faust,Spike,"Food's all taken care of, next is weather.",neutral,1
72,"Friendship is Magic, part 1",Lauren Faust,Twilight Sparkle,Ugh... I ate too much pie...,disgust,1
73,"Friendship is Magic, part 1",Lauren Faust,Spike,"Hmm, there's supposed to be a Pegasus pony named Rainbow Dash clearing the clouds.",joy,1
74,"Friendship is Magic, part 1",Lauren Faust,Twilight Sparkle,"Well, she's not doing a very good job, is she?",anger,1
75,"Friendship is Magic, part 1",Lauren Faust,Twilight Sparkle,Nng.,anger,1
76,"Friendship is Magic, part 1",Lauren Faust,Twilight Sparkle,Nnnn.,neutral,1
77,"Friendship is Magic, part 1",Lauren Faust,Rainbow Dash,[laughter] Lemme help you.,joy,1
78,"Friendship is Magic, part 1",Lauren Faust,Twilight Sparkle,Let me guess. You're Rainbow Dash.,surprise,1
79,"Friendship is Magic, part 1",Lauren Faust,Rainbow Dash,"The one and only. Why, you heard of me?",surprise,1
80,"Friendship is Magic, part 1",Lauren Faust,Twilight Sparkle,"I heard you were supposed to be keeping the sky clear. [sigh] I'm Twilight Sparkle, and the Princess sent me to check on the weather.",neutral,1
81,"Friendship is Magic, part 1",Lauren Faust,Rainbow Dash,"Yeah, yeah, that'll be a snap. I'll do it in a jiffy. Just as soon as I'm done practicing.",joy,1
82,"Friendship is Magic, part 1",Lauren Faust,Twilight Sparkle,Practicing for what?,neutral,1
83,"Friendship is Magic, part 1",Lauren Faust,Rainbow Dash,"The Wonderbolts! They're gonna perform at the Celebration tomorrow, and I'm gonna show 'em my stuff!",joy,1
84,"Friendship is Magic, part 1",Lauren Faust,Twilight Sparkle,The Wonderbolts?,surprise,1
85,"Friendship is Magic, part 1",Lauren Faust,Rainbow Dash,Yep!,neutral,1
86,"Friendship is Magic, part 1",Lauren Faust,Twilight Sparkle,The most talented flyers in all of Equestria?,surprise,1
87,"Friendship is Magic, part 1",Lauren Faust,Rainbow Dash,That's them!,joy,1
88,"Friendship is Magic, part 1",Lauren Faust,Twilight Sparkle,Pfft! Please. They'd never accept a Pegasus who can't even keep the sky clear for one measly day.,disgust,1
89,"Friendship is Magic, part 1",Lauren Faust,Rainbow Dash,"Hey, I could clear this sky in ten seconds flat.",joy,1
90,"Friendship is Magic, part 1",Lauren Faust,Twilight Sparkle,Prove it.,neutral,1
91,"Friendship is Magic, part 1",Lauren Faust,Rainbow Dash,"[sounds of exertion] Loop-de-loop around, and wham! What'd I say? Ten. Seconds. Flat. I'd never leave Ponyville hanging. [sheep baaing] [chuckles] You should see the look on your face. Ha! You're a laugh, Twilight Sparkle. I can't wait to hang out some more.",joy,1
92,"Friendship is Magic, part 1",Lauren Faust,Twilight Sparkle,Rrgh.,anger,1
93,"Friendship is Magic, part 1",Lauren Faust,Spike,Wait! It's kinda pretty once you get used to it!,joy,1
94,"Friendship is Magic, part 1",Lauren Faust,Spike,Decorations. Beautiful...,joy,1
95,"Friendship is Magic, part 1",Lauren Faust,Twilight Sparkle,"Yes, the d<e9>cor is coming along nicely. This ought'a be quick. I'll be at the library in no time. Beautiful indeed.",joy,1
96,"Friendship is Magic, part 1",Lauren Faust,Spike,"Not the d<e9>cor, her!",disgust,1
97,"Friendship is Magic, part 1",Lauren Faust,Rarity,"No, no, no, oh! Goodness no.",fear,1
98,"Friendship is Magic, part 1",Lauren Faust,Spike,How are my spines? Are they straight?,neutral,1
99,"Friendship is Magic, part 1",Lauren Faust,Twilight Sparkle,Good afternoon<U+0097>,neutral,1
100,"Friendship is Magic, part 1",Lauren Faust,Rarity,"Just a moment, please! I'm 'in the zone', as it were. Oh, yes! Sparkle always does the trick, does it not? Why, Rarity, you are a talent. Now, um, how can I help yo<U+0097> [yelp] Oh my stars, darling! Whatever happened to your coiffure?!",surprise,1
101,"Friendship is Magic, part 1",Lauren Faust,Twilight Sparkle,"Oh, you mean my mane? Well, it's a long story. I'm just here to check on the decorations, and then I'll be out of your hair!",joy,1
102,"Friendship is Magic, part 1",Lauren Faust,Rarity,Out of my hair? What about your hair?!,anger,1
103,"Friendship is Magic, part 1",Lauren Faust,Twilight Sparkle,Wait! Where are we going?! Help!,fear,1
104,"Friendship is Magic, part 1",Lauren Faust,Rarity,"No, no, uh-uh. Too green. Too yellow. Too poofy. Not poofy enough. Too frilly. Too... shiny. Now go on, my dear. You were telling me where you're from.",disgust,1
105,"Friendship is Magic, part 1",Lauren Faust,Twilight Sparkle,[wincing] I've... been sent... from Canterlot... to<U+0097>,fear,1
106,"Friendship is Magic, part 1",Lauren Faust,Rarity,Huh?,surprise,1
107,"Friendship is Magic, part 1",Lauren Faust,Rarity,"Canterlot?! Oh, I am so envious! The glamour, the sophistication! I have always dreamed of living there! I can't wait to hear all about it! We are gonna be the best of friends, you and I... Emeralds?! What was I thinking? Let me get you some rubies!",joy,1
108,"Friendship is Magic, part 1",Lauren Faust,Twilight Sparkle,Quick! Before she decides to dye my coat a new color!,fear,1
109,"Friendship is Magic, part 1",Lauren Faust,Spike,Wasn't she wonderful?,joy,1
110,"Friendship is Magic, part 1",Lauren Faust,Twilight Sparkle,"Focus, Casanova. What's next on the list?",neutral,1
111,"Friendship is Magic, part 1",Lauren Faust,Spike,"[clears throat] Oh, uh, music! It's the last one!",joy,1
112,"Friendship is Magic, part 1",Lauren Faust,Fluttershy,"Oh my. Um, stop please, everyone, umm. Excuse me, sir? I mean no offense, but your rhythm is just a teeny-tiny bit off. Now, follow me, please. A-one, a-two, a-one two three-",surprise,1
113,"Friendship is Magic, part 1",Lauren Faust,Twilight Sparkle,Hello!,joy,1
114,"Friendship is Magic, part 1",Lauren Faust,Twilight Sparkle,"Oh my, I'm so sorry, I didn't mean to frighten your birds. I'm just here to check up on the music and it's sounding beautiful. [pause] I'm Twilight Sparkle. [pause] What's your name?",joy,1
115,"Friendship is Magic, part 1",Lauren Faust,Fluttershy,[very quietly] Um... I'm Fluttershy.,neutral,1
116,"Friendship is Magic, part 1",Lauren Faust,Twilight Sparkle,"I'm sorry, what was that?",surprise,1
117,"Friendship is Magic, part 1",Lauren Faust,Fluttershy,[even quieter] Um... My name is Fluttershy.,joy,1
118,"Friendship is Magic, part 1",Lauren Faust,Twilight Sparkle,Didn't quite catch that.,neutral,1
119,"Friendship is Magic, part 1",Lauren Faust,Twilight Sparkle,"[pause] Well, um, it looks like your birds are back, so I guess everything's in order. Keep up the good work!",joy,1
120,"Friendship is Magic, part 1",Lauren Faust,Twilight Sparkle,"Oookay. [to Spike] Well, that was easy.",joy,1
121,"Friendship is Magic, part 1",Lauren Faust,Fluttershy,[gasp] A baby dragon!,surprise,1
122,"Friendship is Magic, part 1",Lauren Faust,Fluttershy,"Oh, I've never seen a baby dragon before. He's sooo cute!",joy,1
123,"Friendship is Magic, part 1",Lauren Faust,Spike,"Well, well, well...!",surprise,1
124,"Friendship is Magic, part 1",Lauren Faust,Fluttershy,"Oh my, he talks. I didn't know dragons could talk. That's just so incredibly wonderful I, I just don't even know what to say!",joy,1
125,"Friendship is Magic, part 1",Lauren Faust,Twilight Sparkle,"Well, in that case we'd better be going.",neutral,1
126,"Friendship is Magic, part 1",Lauren Faust,Fluttershy,"Wait, wait! What's his name?",surprise,1
127,"Friendship is Magic, part 1",Lauren Faust,Spike,I'm Spike.,neutral,1
128,"Friendship is Magic, part 1",Lauren Faust,Fluttershy,"Hi Spike, I'm Fluttershy. Wow, a talking dragon! And what do dragons talk about?",surprise,1
129,"Friendship is Magic, part 1",Lauren Faust,Spike,"Well, what do you wanna know?",neutral,1
130,"Friendship is Magic, part 1",Lauren Faust,Fluttershy,Absolutely everything.,joy,1
131,"Friendship is Magic, part 1",Lauren Faust,Spike,Well... I started out as a cute little purple and green egg...,joy,1
132,"Friendship is Magic, part 1",Lauren Faust,Spike,"...and that's the story of my whole entire life! Well, up until today. Do you wanna hear about today?",joy,1
133,"Friendship is Magic, part 1",Lauren Faust,Fluttershy,"Oh, yes, please!",joy,1
134,"Friendship is Magic, part 1",Lauren Faust,Spike,Gyah!,surprise,1
135,"Friendship is Magic, part 1",Lauren Faust,Twilight Sparkle,"I am so sorry, how did we get here so fast? This is where I'm staying while in Ponyville and my poor baby dragon needs his sleep.",surprise,1
136,"Friendship is Magic, part 1",Lauren Faust,Spike,No I don't<U+0097> whoa!,surprise,1
137,"Friendship is Magic, part 1",Lauren Faust,Twilight Sparkle,"Aww, wook at dat, he's so sweepy he can't even keep his widdle bawance!",joy,1
138,"Friendship is Magic, part 1",Lauren Faust,Fluttershy,"Poor thing, you simply must get into bed...",joy,1
139,"Friendship is Magic, part 1",Lauren Faust,Twilight Sparkle,"Yes, yes, we'll get right on that. Well, g'night!",joy,1
140,"Friendship is Magic, part 1",Lauren Faust,Spike,Huh. Rude much?,anger,1
141,"Friendship is Magic, part 1",Lauren Faust,Twilight Sparkle,"Sorry, Spike, but I have to convince the Princess that Nightmare Moon is coming, and we're running out of time! I just need to be alone so I can study without a bunch of crazy ponies trying to make friends all the time. Now, where's the light?",anger,1
143,"Friendship is Magic, part 1",Lauren Faust,Pinkie Pie,Surprise!,surprise,1
144,"Friendship is Magic, part 1",Lauren Faust,Pinkie Pie,"Hi, I'm Pinkie Pie, and I threw this party just for you! Were you surprised? Were ya? Were ya? Huh huh huh?",joy,1
145,"Friendship is Magic, part 1",Lauren Faust,Twilight Sparkle,Very surprised. Libraries are supposed to be quiet.,surprise,1
146,"Friendship is Magic, part 1",Lauren Faust,Pinkie Pie,"Well, that's silly! What kind of welcome party would this be if it were quiet? I mean, duh, bo-ring! Y'see, I saw you when you first got here, remember? You were all ""hello"" and I was all [deep gasp], remember? Y'see I've never saw you before and if I've never saw you before that means you're new, 'cause I know everypony, and I mean everypony in Ponyville!",joy,1
147,"Friendship is Magic, part 1",Lauren Faust,Pinkie Pie,"And if you're new, that meant you haven't met anyone yet, and if you haven't met anyone yet, you must not have any friends, and if you don't have any friends then you must be lonely, and that made me so sad, then I had an idea, and that's why I went [deep gasp]! I must throw a great big ginormous super-duper spectacular welcome party and invite everyone in Ponyville! See? And now you have lots and lots of friends!",joy,1
148,"Friendship is Magic, part 1",Lauren Faust,Applejack,"Are you all right, sugarcube?",joy,1
149,"Friendship is Magic, part 1",Lauren Faust,Pinkie Pie,"Aww, she's so happy she's crying!",joy,1
150,"Friendship is Magic, part 1",Lauren Faust,Spike,"""Hot sauce"".",joy,1
151,"Friendship is Magic, part 1",Lauren Faust,Pinkie Pie,Ooh... [with mouth full] What? It's good!,joy,1
152,"Friendship is Magic, part 1",Lauren Faust,Spike,"Hey Twilight! Pinkie Pie's starting ""pin the tail on the pony""! Wanna play?",joy,1
153,"Friendship is Magic, part 1",Lauren Faust,Twilight Sparkle,No! All the ponies in this town are crazy! Do you know what time it is?!,anger,1
154,"Friendship is Magic, part 1",Lauren Faust,Spike,"It's the eve of the Summer Sun Celebration. Everypony has to stay up, or they'll miss the Princess raise the sun! You really should lighten up, Twilight. It's a party!",joy,1
155,"Friendship is Magic, part 1",Lauren Faust,Twilight Sparkle,"Ugh, here I thought I'd have time to learn about the Elements of Harmony but, silly me, all this ridiculous friend-making has kept me from it! ""Legend has it that on the longest day of the thousandth year, the stars will aid in her escape, and she will bring about everlasting night."" I hope the Princess was right... I hope it really is just an old pony tale...",fear,1
156,"Friendship is Magic, part 1",Lauren Faust,Spike,"C'mon, Twilight, it's time to watch the sunrise!",joy,1
157,"Friendship is Magic, part 1",Lauren Faust,Pinkie Pie,"Isn't this exciting? Are you excited, 'cause I'm excited, I've never been so excited<U+0097> well, except for the time that I saw you walking into town and I went [deep gasp] but I mean really, who can top that?",joy,1
160,"Friendship is Magic, part 1",Lauren Faust,Fluttershy,Ready?,neutral,1
162,"Friendship is Magic, part 1",Lauren Faust,Rarity,Huh?,surprise,1
163,"Friendship is Magic, part 1",Lauren Faust,Twilight Sparkle,This can't be good.,fear,1
165,"Friendship is Magic, part 1",Lauren Faust,Pinkie Pie,"Ooh, ooh, I love guessing games! Is she hiding?",joy,1
166,"Friendship is Magic, part 1",Lauren Faust,Rarity,She's gone!,sadness,1
167,"Friendship is Magic, part 1",Lauren Faust,Twilight Sparkle,Oh no... Nightmare Moon!,fear,1
169,"Friendship is Magic, part 1",Lauren Faust,Rainbow Dash,What did you do with our Princess?!,fear,1
170,"Friendship is Magic, part 1",Lauren Faust,Applejack,"[muffled] Whoa there, Nelly...",surprise,1
173,"Friendship is Magic, part 1",Lauren Faust,Twilight Sparkle,I did. And I know who you are. You're the Mare in the Moon <U+0096> Nightmare Moon!,fear,1
175,"Friendship is Magic, part 2",Lauren Faust,Twilight Sparkle,"""Elements of Harmony, see 'Mare in the Moon'""?",neutral,1
176,"Friendship is Magic, part 2",Lauren Faust,Spike,But that's just an old ponies' tale.,neutral,1
177,"Friendship is Magic, part 2",Lauren Faust,Twilight Sparkle,She will bring about nighttime eternal.,fear,1
178,"Friendship is Magic, part 2",Lauren Faust,Twilight Sparkle,It's imperative that the princess is told right away.,fear,1
179,"Friendship is Magic, part 2",Lauren Faust,Twilight Sparkle,I knew she would wanna take immediate action.,neutral,1
180,"Friendship is Magic, part 2",Lauren Faust,Spike,"My dear Twilight, there is more to a young pony's life than studying. Make some friends!",joy,1
181,"Friendship is Magic, part 2",Lauren Faust,Twilight Sparkle,All the ponies in this town are crazy!,anger,1
182,"Friendship is Magic, part 2",Lauren Faust,Twilight Sparkle,I hope the Princess was right.,joy,1
183,"Friendship is Magic, part 2",Lauren Faust,Rarity,She's gone!,sadness,1
184,"Friendship is Magic, part 2",Lauren Faust,Twilight Sparkle,Oh no. Nightmare Moon!,fear,1
186,"Friendship is Magic, part 2",Lauren Faust,Applejack,Ergh...,disgust,1
187,"Friendship is Magic, part 2",Lauren Faust,Rainbow Dash,Come back here! [pants] Nighttime? Forever? Where's she going?,fear,1
188,"Friendship is Magic, part 2",Lauren Faust,Spike,Uh... We gotta stop Nightmare!...,fear,1
189,"Friendship is Magic, part 2",Lauren Faust,Twilight Sparkle,"You've been up all night, Spike. You are a baby dragon after all. Elements, elements, elements... Ugh! How can I stop Nightmare Moon without the Elements of Harmony?",fear,1
190,"Friendship is Magic, part 2",Lauren Faust,Rainbow Dash,"And just what are the Elements of Harmony? And how did you know about Nightmare Moon, huh? Are you a spy? Whoa!",surprise,1
191,"Friendship is Magic, part 2",Lauren Faust,Applejack,"Simmer down, Sally. She ain't no spy. But she sure knows what's going on. Don't you, Twilight?",anger,1
192,"Friendship is Magic, part 2",Lauren Faust,Twilight Sparkle,"I read all about the prediction of Nightmare Moon. Some mysterious objects called the Elements of Harmony are the only things that can stop her, but I don't know what they are, where to find them; I don't even know what they do!",fear,1
193,"Friendship is Magic, part 2",Lauren Faust,Pinkie Pie,"""The Elements of Harmony: A Reference Guide.""",neutral,1
194,"Friendship is Magic, part 2",Lauren Faust,Twilight Sparkle,How did you find that?!,surprise,1
195,"Friendship is Magic, part 2",Lauren Faust,Pinkie Pie,"[sing-song voice] It was under ""E""!",joy,1
196,"Friendship is Magic, part 2",Lauren Faust,Twilight Sparkle,"Oh. There are six Elements of Harmony, but only five are known: Kindness, Laughter, Generosity, Honesty and Loyalty. The sixth is a complete mystery. It is said, the last known location of the five elements was in the ancient castle of the royal pony sisters. It is located in what is now--",surprise,1
198,"Friendship is Magic, part 2",Lauren Faust,Pinkie Pie,Whee! Let's go!,joy,1
199,"Friendship is Magic, part 2",Lauren Faust,Twilight Sparkle,"Not so fast. Look, I appreciate the offer, but I'd really rather do this on my own.",neutral,1
200,"Friendship is Magic, part 2",Lauren Faust,Applejack,"No can do, sugarcube. We sure ain't lettin' any friend of ours go into that creepy place alone. We're stickin' to you like caramel on a candy apple.",joy,1
201,"Friendship is Magic, part 2",Lauren Faust,Pinkie Pie,Especially if there's candy apples in there. What? Those things are good.,joy,1
202,"Friendship is Magic, part 2",Lauren Faust,Twilight Sparkle,"So, none of you have been in here before?",surprise,1
203,"Friendship is Magic, part 2",Lauren Faust,Rarity,"Ugh, heavens no! Just look at it - it's dreadful.",disgust,1
204,"Friendship is Magic, part 2",Lauren Faust,Applejack,And it ain't natural. Folks say it don't work the same as Equestria.,sadness,1
205,"Friendship is Magic, part 2",Lauren Faust,Twilight Sparkle,What's that supposed to mean?,anger,1
206,"Friendship is Magic, part 2",Lauren Faust,Rainbow Dash,Nopony knows. You know why?,surprise,1
207,"Friendship is Magic, part 2",Lauren Faust,Applejack,"Rainbow, quit it.",anger,1
208,"Friendship is Magic, part 2",Lauren Faust,Rainbow Dash,'cause everypony who's ever come in has never come out!,fear,1
209,"Friendship is Magic, part 2",Lauren Faust,Rainbow Dash,Fluttershy! Quick!,surprise,1
210,"Friendship is Magic, part 2",Lauren Faust,Fluttershy,"Oh my goodness, oh my goodness.",surprise,1
211,"Friendship is Magic, part 2",Lauren Faust,Applejack,Hold on! I'm a-comin'!,joy,1
212,"Friendship is Magic, part 2",Lauren Faust,Twilight Sparkle,Applejack! What do I do?,neutral,1
213,"Friendship is Magic, part 2",Lauren Faust,Applejack,Let go.,neutral,1
214,"Friendship is Magic, part 2",Lauren Faust,Twilight Sparkle,Are you crazy?,anger,1
215,"Friendship is Magic, part 2",Lauren Faust,Applejack,No I ain't. I promise you'll be safe.,joy,1
216,"Friendship is Magic, part 2",Lauren Faust,Twilight Sparkle,That's not true!,anger,1
217,"Friendship is Magic, part 2",Lauren Faust,Applejack,"Now listen here. What I'm sayin' to you is the honest truth. Let go, and you'll be safe.",anger,1
218,"Friendship is Magic, part 2",Lauren Faust,Twilight Sparkle,Yaaah! Phew-wah!,surprise,1
219,"Friendship is Magic, part 2",Lauren Faust,Fluttershy,Sorry girls. I'm not used to holding anything more than a bunny or two.,neutral,1
220,"Friendship is Magic, part 2",Lauren Faust,Rainbow Dash,"And once Pinkie and Rarity were saved, whoosh... Me and Fluttershy loop-de-loop around and WHAM! Caught you right in the nick of time.",joy,1
221,"Friendship is Magic, part 2",Lauren Faust,Twilight Sparkle,"Yes, Rainbow, I was there, and I'm very grateful, but we gotta- [gasp] A manticore!",surprise,1
222,"Friendship is Magic, part 2",Lauren Faust,Twilight Sparkle,We've gotta get past him!,fear,1
223,"Friendship is Magic, part 2",Lauren Faust,Rarity,"Take that, you ruffian!",anger,1
224,"Friendship is Magic, part 2",Lauren Faust,Rarity,My hair! Woop--,surprise,1
225,"Friendship is Magic, part 2",Lauren Faust,Fluttershy,Wait.,neutral,1
226,"Friendship is Magic, part 2",Lauren Faust,Applejack,"YEE-HAW! Git along, little dogie.",joy,1
227,"Friendship is Magic, part 2",Lauren Faust,Fluttershy,Wait.,neutral,1
228,"Friendship is Magic, part 2",Lauren Faust,Applejack,"Whoa! All yours, partner.",surprise,1
229,"Friendship is Magic, part 2",Lauren Faust,Rainbow Dash,I'm on it.,joy,1
230,"Friendship is Magic, part 2",Lauren Faust,Fluttershy,Wait!,surprise,1
231,"Friendship is Magic, part 2",Lauren Faust,Twilight Sparkle,Rainbow!,joy,1
232,"Friendship is Magic, part 2",Lauren Faust,Fluttershy,WAIT!,surprise,1
233,"Friendship is Magic, part 2",Lauren Faust,Fluttershy,"Shhh... It's okay. Oh, you poor, poor little baby.",sadness,1
234,"Friendship is Magic, part 2",Lauren Faust,Rainbow Dash,Little?,neutral,1
235,"Friendship is Magic, part 2",Lauren Faust,Fluttershy,Now this might hurt for just a second.,fear,1
